case_name,source_summary,architecture,scale_family,calibration_scope,prefill_logical_gpus,decode_logical_gpus,total_logical_gpus,pd_prefill_workers,pd_decode_workers,pd_prefill_tp_degree,pd_decode_tp_degree,topology_deployment,topology_prefill_layout_name,topology_decode_layout_name,topology_prefill_tp_degree,topology_decode_tp_degree,topology_prefill_pp_degree,topology_decode_pp_degree,topology_prefill_ep_degree,topology_decode_ep_degree,topology_prefill_dp_attention_degree,topology_decode_dp_attention_degree,topology_prefill_dp_replica_count,topology_decode_dp_replica_count,target_request_rate_per_second,trace_request_rate_per_second,trace_num_requests,prompt_tokens_distribution,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,output_tokens_distribution,output_tokens_min,output_tokens_max,output_tokens_mean,pressure_family,num_requests,total_prompt_tokens,total_output_tokens,makespan_ns,request_throughput_reqs_per_sec,output_token_throughput_tokens_per_sec,queue_delay_mean_ns,prefill_queue_delay_mean_ns,decode_queue_delay_mean_ns,transfer_duration_mean_ns,ttft_mean_ns,ttft_p99_ns,tpot_mean_ns,e2e_mean_ns,e2e_p99_ns,good_requests,bad_requests,slo_attainment_fraction,goodput_reqs_per_sec,runtime_seed,trace_seed,request_config_path,binary
decode_worker_only__p_w1_tp1__d_w2_tp1,build/pd_extrapolated_sweep_compact/decode_worker_only__p_w1_tp1__d_w2_tp1/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,2,3,1,2,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8.0,8.0,64,uniform,64,384,224.0,uniform,8,48,28.0,,64,13237,1974,10100008620,6.336628255273707,195.4453777485984,5389715.015625,5389715.015625,8434321.734375,900.125,179760070.0,221742281.0,33524887.0,1098157036.03125,1712476830.0,64,0,1.0,6.336628255273707,23,13,/home/justin/astra-sim/build/pd_extrapolated_sweep_compact/decode_worker_only__p_w1_tp1__d_w2_tp1/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
decode_worker_only__p_w1_tp1__d_w4_tp1,build/pd_extrapolated_sweep_compact/decode_worker_only__p_w1_tp1__d_w4_tp1/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,4,5,1,4,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8.0,8.0,64,uniform,64,384,224.0,uniform,8,48,28.0,,64,13237,1974,10089093191,6.343483877925853,195.65683085977554,5389715.015625,5389715.015625,5172592.171875,900.125,176498340.4375,229152282.0,33524887.0,1094895306.46875,1705795776.0,64,0,1.0,6.343483877925853,23,13,/home/justin/astra-sim/build/pd_extrapolated_sweep_compact/decode_worker_only__p_w1_tp1__d_w4_tp1/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
decode_worker_only__p_w1_tp1__d_w8_tp1,build/pd_extrapolated_sweep_compact/decode_worker_only__p_w1_tp1__d_w8_tp1/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,8,9,1,8,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8.0,8.0,64,uniform,64,384,224.0,uniform,8,48,28.0,,64,13237,1974,10083288522,6.347135645316805,195.7694650602402,5389715.015625,5389715.015625,1106482.75,900.125,172432231.015625,225749606.0,33524887.0,1090829197.046875,1702393100.0,64,0,1.0,6.347135645316805,23,13,/home/justin/astra-sim/build/pd_extrapolated_sweep_compact/decode_worker_only__p_w1_tp1__d_w8_tp1/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
mixed_balanced__p_w2_tp2__d_w2_tp2,build/pd_extrapolated_sweep_compact/mixed_balanced__p_w2_tp2__d_w2_tp2/summary.json,pd_disaggregated,mixed_balanced_scaling,extrapolated,4,4,8,2,2,2,2,pd_disaggregated,prefill,decode,2,2,1,1,1,1,1,1,1,1,8.0,8.0,64,uniform,64,384,224.0,uniform,8,48,28.0,,64,13237,1974,10066483733,6.357731428124685,196.09627873622074,349229.140625,349229.140625,8976660.453125,900.125,174352223.59375,200991593.0,33524887.0,1092749189.625,1684091636.0,64,0,1.0,6.357731428124685,23,13,/home/justin/astra-sim/build/pd_extrapolated_sweep_compact/mixed_balanced__p_w2_tp2__d_w2_tp2/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
mixed_balanced__p_w2_tp4__d_w2_tp4,build/pd_extrapolated_sweep_compact/mixed_balanced__p_w2_tp4__d_w2_tp4/summary.json,pd_disaggregated,mixed_balanced_scaling,extrapolated,8,8,16,2,2,4,4,pd_disaggregated,prefill,decode,4,4,1,1,1,1,1,1,1,1,8.0,8.0,64,uniform,64,384,224.0,uniform,8,48,28.0,,64,13237,1974,10066483733,6.357731428124685,196.09627873622074,349229.140625,349229.140625,8976660.453125,900.125,174352223.59375,200991593.0,33524887.0,1092749189.625,1684091636.0,64,0,1.0,6.357731428124685,23,13,/home/justin/astra-sim/build/pd_extrapolated_sweep_compact/mixed_balanced__p_w2_tp4__d_w2_tp4/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
mixed_balanced__p_w4_tp2__d_w4_tp2,build/pd_extrapolated_sweep_compact/mixed_balanced__p_w4_tp2__d_w4_tp2/summary.json,pd_disaggregated,mixed_balanced_scaling,extrapolated,8,8,16,4,4,2,2,pd_disaggregated,prefill,decode,2,2,1,1,1,1,1,1,1,1,8.0,8.0,64,uniform,64,384,224.0,uniform,8,48,28.0,,64,13237,1974,10066483733,6.357731428124685,196.09627873622074,0.0,0.0,4069721.703125,900.125,168580586.953125,182379499.0,33524887.0,1086977552.984375,1675947890.0,64,0,1.0,6.357731428124685,23,13,/home/justin/astra-sim/build/pd_extrapolated_sweep_compact/mixed_balanced__p_w4_tp2__d_w4_tp2/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
prefill_tp_only__p_w1_tp2__d_w1_tp1,build/pd_extrapolated_sweep_compact/prefill_tp_only__p_w1_tp2__d_w1_tp1/summary.json,pd_disaggregated,prefill_tp_scaling,extrapolated,2,1,3,1,1,2,1,pd_disaggregated,prefill,decode,2,1,1,1,1,1,1,1,1,1,8.0,8.0,64,uniform,64,384,224.0,uniform,8,48,28.0,,64,13237,1974,10109094546,6.330932974142945,195.26971392122144,5389715.015625,5389715.015625,16484351.328125,900.125,187810099.59375,238342271.0,33524887.0,1106207065.625,1731910662.0,64,0,1.0,6.330932974142945,23,13,/home/justin/astra-sim/build/pd_extrapolated_sweep_compact/prefill_tp_only__p_w1_tp2__d_w1_tp1/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
prefill_tp_only__p_w1_tp4__d_w1_tp1,build/pd_extrapolated_sweep_compact/prefill_tp_only__p_w1_tp4__d_w1_tp1/summary.json,pd_disaggregated,prefill_tp_scaling,extrapolated,4,1,5,1,1,4,1,pd_disaggregated,prefill,decode,4,1,1,1,1,1,1,1,1,1,8.0,8.0,64,uniform,64,384,224.0,uniform,8,48,28.0,,64,13237,1974,10109094546,6.330932974142945,195.26971392122144,5389715.015625,5389715.015625,16484351.328125,900.125,187810099.59375,238342271.0,33524887.0,1106207065.625,1731910662.0,64,0,1.0,6.330932974142945,23,13,/home/justin/astra-sim/build/pd_extrapolated_sweep_compact/prefill_tp_only__p_w1_tp4__d_w1_tp1/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
prefill_tp_only__p_w1_tp8__d_w1_tp1,build/pd_extrapolated_sweep_compact/prefill_tp_only__p_w1_tp8__d_w1_tp1/summary.json,pd_disaggregated,prefill_tp_scaling,extrapolated,8,1,9,1,1,8,1,pd_disaggregated,prefill,decode,8,1,1,1,1,1,1,1,1,1,8.0,8.0,64,uniform,64,384,224.0,uniform,8,48,28.0,,64,13237,1974,10109094546,6.330932974142945,195.26971392122144,5389715.015625,5389715.015625,16484351.328125,900.125,187810099.59375,238342271.0,33524887.0,1106207065.625,1731910662.0,64,0,1.0,6.330932974142945,23,13,/home/justin/astra-sim/build/pd_extrapolated_sweep_compact/prefill_tp_only__p_w1_tp8__d_w1_tp1/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
prefill_worker_only__p_w2_tp1__d_w1_tp1,build/pd_extrapolated_sweep_compact/prefill_worker_only__p_w2_tp1__d_w1_tp1/summary.json,pd_disaggregated,prefill_worker_scaling,extrapolated,2,1,3,2,1,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8.0,8.0,64,uniform,64,384,224.0,uniform,8,48,28.0,,64,13237,1974,10073897910,6.353052271501529,195.95195599912526,349229.140625,349229.140625,15524523.859375,900.125,180900087.0,213613983.0,33524887.0,1099297053.03125,1696714026.0,64,0,1.0,6.353052271501529,23,13,/home/justin/astra-sim/build/pd_extrapolated_sweep_compact/prefill_worker_only__p_w2_tp1__d_w1_tp1/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
prefill_worker_only__p_w4_tp1__d_w1_tp1,build/pd_extrapolated_sweep_compact/prefill_worker_only__p_w4_tp1__d_w1_tp1/summary.json,pd_disaggregated,prefill_worker_scaling,extrapolated,4,1,5,4,1,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8.0,8.0,64,uniform,64,384,224.0,uniform,8,48,28.0,,64,13237,1974,10073897910,6.353052271501529,195.95195599912526,0.0,0.0,15341569.03125,900.125,179852434.28125,203145635.0,33524887.0,1098249400.3125,1696714026.0,64,0,1.0,6.353052271501529,23,13,/home/justin/astra-sim/build/pd_extrapolated_sweep_compact/prefill_worker_only__p_w4_tp1__d_w1_tp1/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
prefill_worker_only__p_w8_tp1__d_w1_tp1,build/pd_extrapolated_sweep_compact/prefill_worker_only__p_w8_tp1__d_w1_tp1/summary.json,pd_disaggregated,prefill_worker_scaling,extrapolated,8,1,9,8,1,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8.0,8.0,64,uniform,64,384,224.0,uniform,8,48,28.0,,64,13237,1974,10073897910,6.353052271501529,195.95195599912526,0.0,0.0,15341569.03125,900.125,179852434.28125,203145635.0,33524887.0,1098249400.3125,1696714026.0,64,0,1.0,6.353052271501529,23,13,/home/justin/astra-sim/build/pd_extrapolated_sweep_compact/prefill_worker_only__p_w8_tp1__d_w1_tp1/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
